ERROR | 2024-01-07 22:36:34,410 | Socket error: [Errno 54] Connection reset by peer
INFO | 2024-01-07 22:36:34,410 | Closing connection
INFO | 2024-01-07 22:36:34,411 | New connection received
INFO | 2024-01-07 22:36:34,412 | Handling request for /index.html
INFO | 2024-01-07 22:36:34,420 | Handling request for /css/doremon.css
INFO | 2024-01-07 22:36:34,429 | Handling request for /js/box.js
INFO | 2024-01-07 22:36:34,432 | Handling request for /js/submit.js
WARNING | 2024-01-07 22:36:36,435 | Connection timed out
INFO | 2024-01-07 22:36:36,435 | Closing connection
INFO | 2024-01-07 22:36:36,435 | New connection received
INFO | 2024-01-07 22:36:36,435 | Handling request for /imgs/abstract.jpg
WARNING | 2024-01-07 22:36:38,441 | Connection timed out
INFO | 2024-01-07 22:36:38,441 | Closing connection
INFO | 2024-01-07 22:36:38,442 | New connection received
INFO | 2024-01-07 22:36:38,442 | Handling request for /js/jquery.min.js
WARNING | 2024-01-07 22:36:40,443 | Connection timed out
INFO | 2024-01-07 22:36:40,444 | Closing connection
INFO | 2024-01-07 22:43:16,181 | Starting the server...
DEBUG | 2024-01-07 22:43:16,182 | Using 10 level logging
INFO | 2024-01-07 22:43:16,182 | Listening for connections on port 80
INFO | 2024-01-07 22:43:20,211 | New connection received
INFO | 2024-01-07 22:43:20,211 | Handling request for /
INFO | 2024-01-07 22:43:20,224 | Handling request for /css/doremon.css
INFO | 2024-01-07 22:43:20,239 | Handling request for /js/box.js
INFO | 2024-01-07 22:43:20,256 | Handling request for /js/submit.js
WARNING | 2024-01-07 22:43:22,259 | Connection timed out
INFO | 2024-01-07 22:43:22,259 | Closing connection
INFO | 2024-01-07 22:43:22,260 | New connection received
INFO | 2024-01-07 22:43:22,260 | Handling request for /imgs/abstract.jpg
WARNING | 2024-01-07 22:43:24,263 | Connection timed out
INFO | 2024-01-07 22:43:24,263 | Closing connection
INFO | 2024-01-07 22:43:24,264 | New connection received
INFO | 2024-01-07 22:43:24,264 | Handling request for /js/jquery.min.js
INFO | 2024-01-07 22:43:25,933 | Handling request for /moved
INFO | 2024-01-07 22:43:25,933 | URI Moved requested
INFO | 2024-01-07 22:43:25,934 | Handling request for /
ERROR | 2024-01-07 22:43:25,934 | Socket error: [Errno 54] Connection reset by peer
INFO | 2024-01-07 22:43:25,934 | Closing connection
INFO | 2024-01-07 22:43:25,937 | New connection received
INFO | 2024-01-07 22:43:25,937 | Handling request for /index.html
INFO | 2024-01-07 22:43:25,950 | Handling request for /css/doremon.css
INFO | 2024-01-07 22:43:25,953 | Handling request for /imgs/abstract.jpg
WARNING | 2024-01-07 22:43:27,957 | Connection timed out
INFO | 2024-01-07 22:43:27,957 | Closing connection
INFO | 2024-01-07 22:43:27,958 | New connection received
INFO | 2024-01-07 22:43:27,958 | Handling request for /js/jquery.min.js
WARNING | 2024-01-07 22:43:29,961 | Connection timed out
INFO | 2024-01-07 22:43:29,961 | Closing connection
INFO | 2024-01-07 22:43:29,961 | New connection received
INFO | 2024-01-07 22:43:29,962 | Handling request for /js/box.js
WARNING | 2024-01-07 22:43:31,965 | Connection timed out
INFO | 2024-01-07 22:43:31,965 | Closing connection
INFO | 2024-01-07 22:43:31,966 | New connection received
INFO | 2024-01-07 22:43:31,966 | Handling request for /js/submit.js
WARNING | 2024-01-07 22:43:33,968 | Connection timed out
INFO | 2024-01-07 22:43:33,968 | Closing connection
INFO | 2024-01-07 22:43:34,789 | New connection received
INFO | 2024-01-07 22:43:34,789 | Handling request for /forbidden
ERROR | 2024-01-07 22:43:34,792 | Error handling file: [Errno 32] Broken pipe
ERROR | 2024-01-07 22:43:34,795 | Socket error: [Errno 32] Broken pipe
INFO | 2024-01-07 22:43:34,795 | Closing connection
INFO | 2024-01-07 22:43:35,242 | New connection received
INFO | 2024-01-07 22:43:35,243 | Handling request for /forbidden
WARNING | 2024-01-07 22:43:37,250 | Connection timed out
INFO | 2024-01-07 22:43:37,250 | Closing connection
INFO | 2024-01-07 22:43:37,251 | New connection received
WARNING | 2024-01-07 22:43:39,255 | Connection timed out
INFO | 2024-01-07 22:43:39,255 | Closing connection
